Diameter,Burst Abott Wave,Burst Wave,Conventional Biphasic Waveform,Conventional Passive Charge Balance,Fast Biphasic Waveform,Fast Passive Charge Balance
2,-0.024622802734375004,-0.009687500000000002,-0.022145385742187502,-0.0143505859375,-0.019547119140625,-0.014048461914062501
3,-0.024622802734375004,-0.009687500000000002,-0.022145385742187502,-0.0143505859375,-0.019547119140625,-0.014048461914062501
4,-0.024622802734375004,-0.009687500000000002,-0.022145385742187502,-0.0143505859375,-0.019547119140625,-0.014048461914062501
5,-0.024622802734375004,-0.009687500000000002,-0.022145385742187502,-0.0143505859375,-0.019547119140625,-0.014048461914062501
